cost,loss,epsilon,ROC,Sens,Spec,ROCSD,SensSD,SpecSD,model
0.01,L2_primal,0.01,0.5944963308943484,0.6903595099935526,0.4243640068439178,0.004340504210475502,0.009106133529856049,0.009714091557156006,L2_Logistic_Regression
0.1,L2_primal,0.01,0.5944823438043237,0.6893470019342359,0.4255907686303645,0.004341353660623931,0.007808419735969733,0.00825880067608123,L2_Logistic_Regression
1,L2_primal,0.01,0.5944854919838702,0.6891445519019987,0.42583260586537763,0.0043397812397766924,0.007470348335543893,0.00797553668504406,L2_Logistic_Regression
10,L2_primal,0.01,0.5944845577752224,0.6891677627337202,0.4258062523844218,0.004340182154227014,0.007502575743883444,0.008018685207819906,L2_Logistic_Regression
100,L2_primal,0.01,0.594484497027924,0.6891677627337202,0.4258065660115192,0.004340046268156158,0.007502575743883444,0.008018864242344853,L2_Logistic_Regression
1000,L2_primal,0.01,0.5944845025231033,0.6891677627337202,0.4258065660115192,0.004340120519928489,0.007502575743883444,0.008018864242344853,L2_Logistic_Regression
0.001,L2_primal,0.01,0.5950836170573724,0.6944247582205029,0.4194561388864349,0.004342650167268138,0.012951137945214486,0.012725285434641865,L2_Logistic_Regression
0.01,L2_primal,0.01,0.5954701325260592,0.6878754352030948,0.43004046399495993,0.00434154532689616,0.008919774258099136,0.00953540626949123,L2_Logistic_Regression
0.1,L2_primal,0.01,0.5954377015111557,0.6885173436492585,0.4291173642180602,0.004342040813906243,0.007884850596028739,0.008403470556698949,L2_Logistic_Regression
1,L2_primal,0.01,0.5954341680183907,0.6886070921985815,0.4290342451178748,0.004343883885610893,0.007721844302849388,0.00826382372278811,L2_Logistic_Regression
10,L2_primal,0.01,0.5954340931791506,0.6886584139264991,0.42898060809618316,0.004343278308337418,0.007716899271163003,0.008245087493154505,L2_Logistic_Regression
100,L2_primal,0.01,0.5954339666119092,0.6886584139264991,0.42898060809618316,0.004343339457055026,0.007716899271163003,0.008245087493154505,L2_Logistic_Regression
1000,L2_primal,0.01,0.5954340060427504,0.6886584139264991,0.42898060809618316,0.004343282602019319,0.007716899271163003,0.008245087493154505,L2_Logistic_Regression
0.001,L2_primal,0.01,0.5934322967261633,0.6998725983236621,0.4095589392675095,0.004110008455345104,0.011337218932613097,0.01047177027671592,L2_Logistic_Regression
0.01,L2_primal,0.01,0.5937766114437671,0.6954774983881367,0.416871150665159,0.00408871222554455,0.009967406191587804,0.011382342059050908,L2_Logistic_Regression
0.1,L2_primal,0.01,0.5938205531573767,0.6920838168923276,0.4212308031293452,0.0040927400056258835,0.008067487023876625,0.008571478038480088,L2_Logistic_Regression
1,L2_primal,0.01,0.5938303106680383,0.6918934880722115,0.4215008804775789,0.004093637743135793,0.007905156705601433,0.0082796231893496,L2_Logistic_Regression
10,L2_primal,0.01,0.5938308033586863,0.6918996776273372,0.4214958636737381,0.004093824851238073,0.007818561109334663,0.00817166999447013,L2_Logistic_Regression
100,L2_primal,0.01,0.5938310040140429,0.6918989039329465,0.42149649102631026,0.004093737171277099,0.007818998105358408,0.008171833355441681,L2_Logistic_Regression
1000,L2_primal,0.01,0.5938310415824182,0.6918989039329465,0.42149649102631026,0.004093691860984955,0.007818998105358408,0.008171833355441681,L2_Logistic_Regression
0.001,L2_primal,0.01,0.5935211391868399,0.7033436492585429,0.40844854853025175,0.004045069530838224,0.010217318511262995,0.010373805450566695,L2_Logistic_Regression
0.01,L2_primal,0.01,0.593822927773363,0.6966122501611863,0.417732861036634,0.004075891605760246,0.009896277303920007,0.011320491293311146,L2_Logistic_Regression
0.1,L2_primal,0.01,0.5938275823244303,0.692252998065764,0.42290675481739287,0.004072104735501287,0.00857044689507282,0.00993076275759243,L2_Logistic_Regression
1,L2_primal,0.01,0.5938257524525984,0.6916343004513217,0.423673043603414,0.004072862724198411,0.00803214870629195,0.009551663808442568,L2_Logistic_Regression
10,L2_primal,0.01,0.5938235648616553,0.6916082527401677,0.4237003349159631,0.004072731289622161,0.00803292165323155,0.009555826627101393,L2_Logistic_Regression
